case,stem,mapping,pred_path,gt_path,shape,lumen_dice,lumen_iou,lumen_precision,lumen_recall,vessel_wall_dice,vessel_wall_iou,vessel_wall_precision,vessel_wall_recall
001,001_VL1,identity,sample_output/001/001_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/001/001_VL1_label_hwf.npy,512x512x871,0.8253309598595358,0.7026072294889499,0.8098043981838258,0.8414645487148771,0.3604157338907813,0.21982141530673405,0.8434131726468227,0.2291744162625149
002,002_VL1,identity,sample_output/002/002_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/002/002_VL1_label_hwf.npy,512x512x831,0.6493365742715328,0.4807537998752868,0.5078305385756866,0.9001662177573949,0.36770053185074747,0.22526536277540835,0.7529375440370903,0.24324523323686445
003,003_VL1,identity,sample_output/003/003_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/003/003_VL1_label_hwf.npy,512x512x901,0.7387047341903428,0.5856715348219036,0.6584418321412175,0.8412518569540534,0.47149779253112034,0.30847046882051693,0.6395450543861374,0.3733865160713283
004,004_VL1,identity,sample_output/004/004_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/004/004_VL1_label_hwf.npy,512x512x703,0.6896744812629364,0.526338281137704,0.5859046942221484,0.8381129638994986,0.33610608539933523,0.20199970830472136,0.6991566278251485,0.22122878082605169
005,005_VL1,identity,sample_output/005/005_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/005/005_VL1_label_hwf.npy,512x512x531,0.7521585867004584,0.6027677705547544,0.6915727904325842,0.824378976845411,0.49053930376852695,0.32497653300493995,0.7139480508669964,0.3736246225123083
008,008_VL1,identity,sample_output/008/008_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/008/008_VL1_label_hwf.npy,512x512x672,0.6698597182035236,0.5036008061486693,0.5591034290614707,0.8353368006430326,0.26883371787844157,0.15529052330489226,0.7490781797696463,0.16381173275798674
009,009_VL1,identity,sample_output/009/009_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/009/009_VL1_label_hwf.npy,512x512x495,0.7756464620455074,0.6335151065446074,0.7613547149685801,0.7904850279135931,0.3620354211184911,0.22102762525286626,0.8572758104746535,0.22947171287021173
010,010_VL1,identity,sample_output/010/010_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/010/010_VL1_label_hwf.npy,512x512x600,0.6999124826920721,0.5383579746549452,0.60680600851667,0.8267694859369275,0.34433346074150234,0.20797271224416636,0.9025601587931787,0.2127494928835207
011,011_VL1,identity,sample_output/011/011_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/011/011_VL1_label_hwf.npy,512x512x430,0.48412108266038734,0.3193665913040246,0.35029722256994456,0.7834047972509627,0.3399515104775874,0.20478408469585715,0.8208249096003088,0.21436662088774922
012,012_VL1,identity,sample_output/012/012_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/012/012_VL1_label_hwf.npy,512x512x220,0.6596297954751891,0.4921250810025589,0.6200694526035613,0.7045820286785411,0.3429486705065182,0.2069632149604858,0.6600542289659268,0.23165578772178658
013,013_VL1,identity,sample_output/013/013_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/013/013_VL1_label_hwf.npy,512x512x421,0.5561040722790562,0.3851413814545589,0.39702252144518774,0.9279017413223272,0.35537213656765654,0.21608057632320163,0.774644275039291,0.23057476049858916
014,014_VL1,identity,sample_output/014/014_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/014/014_VL1_label_hwf.npy,512x512x350,0.7978377496197038,0.663668942663366,0.7187398492344925,0.8964980875736337,0.43981852001081817,0.2819021541095769,0.9153846374760388,0.2894445508333994
015,015_VL1,identity,sample_output/015/015_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/015/015_VL1_label_hwf.npy,512x512x501,0.7553233286413212,0.6068430027027152,0.7221155339824143,0.7917325900951607,0.3787064443201271,0.2335828961963156,0.8585757411331565,0.2429297855988082
016,016_VL1,identity,sample_output/016/016_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/016/016_VL1_label_hwf.npy,512x512x581,0.7056400332469399,0.5451652178466695,0.621077580269746,0.816858988864071,0.4691390965067572,0.3064544240670315,0.8624062903333948,0.3222083710236165
017,017_VL1,identity,sample_output/017/017_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/017/017_VL1_label_hwf.npy,512x512x350,0.825143660617776,0.702335794563327,0.7626946646721042,0.8987312533982285,0.41314111394663405,0.2603515142888012,0.8296922797810671,0.27505058815565425
018,018_VL1,identity,sample_output/018/018_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/018/018_VL1_label_hwf.npy,512x512x700,0.8254335018005072,0.7027558704133178,0.807462870890738,0.8442222372056492,0.37744149958160894,0.23262119639093584,0.8692759573087421,0.2410537875931266
019,019_VL1,identity,sample_output/019/019_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/019/019_VL1_label_hwf.npy,512x512x600,0.7135576730699745,0.5546752140632789,0.6878646361801996,0.7412445500620032,0.4685095258962039,0.3059173620850422,0.6975093455039468,0.3527107826621785
020,020_VL1,identity,sample_output/020/020_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/020/020_VL1_label_hwf.npy,512x512x570,0.83570888521744,0.7177834431670596,0.8511861272975366,0.8207844414460522,0.3098961236589961,0.183359217144633,0.6027002225994887,0.20856902442503372
021,021_VL1,identity,sample_output/021/021_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/021/021_VL1_label_hwf.npy,512x512x330,0.8886027202978342,0.7995365262509582,0.8478473986778678,0.9334740437658221,0.4485068138174273,0.2890807499586718,0.9127505881213676,0.29729595796402775
023,023_VL1,identity,sample_output/023/023_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/023/023_VL1_label_hwf.npy,512x512x401,0.8212110493520901,0.6966565549335354,0.7940015602464956,0.8503515868481196,0.4820499262726918,0.3175663907634485,0.6866135430687601,0.37139866540602323
024,024_VL1,identity,sample_output/024/024_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/024/024_VL1_label_hwf.npy,512x512x301,0.8204114509035103,0.6955064556466809,0.826353586037071,0.8145541629439705,0.5403002017292525,0.37014473960284594,0.7204523366704109,0.4322214191794758
025,025_VL1,identity,sample_output/025/025_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/025/025_VL1_label_hwf.npy,512x512x401,0.6955177520053922,0.5331753291964055,0.6238999702837231,0.7857097581542043,0.36785613489833424,0.2253821754097765,0.845587900946147,0.23505635464893682
